adhesivity_throughput_100,particle_size,n
1.0,0.02,1.1300000000000001
0.85,0.03,1.1300000000000001
0.65,0.04,1.1300000000000001
0.5,0.05,1.1300000000000001
0.45,0.06,1.1300000000000001
0.35,0.07,1.1300000000000001
0.3,0.08,1.1300000000000001
0.25,0.09,1.1300000000000001
0.25,0.1,1.1300000000000001
1.0,0.01,1.1400000000000001
1.0,0.02,1.1400000000000001
0.9,0.03,1.1400000000000001
0.65,0.04,1.1400000000000001
0.5,0.05,1.1400000000000001
0.45,0.06,1.1400000000000001
0.35,0.07,1.1400000000000001
0.3,0.08,1.1400000000000001
0.25,0.09,1.1400000000000001
0.25,0.1,1.1400000000000001
1.0,0.01,1.1500000000000001
1.0,0.02,1.1500000000000001
0.9,0.03,1.1500000000000001
0.65,0.04,1.1500000000000001
0.55,0.05,1.1500000000000001
0.45,0.06,1.1500000000000001
0.35,0.07,1.1500000000000001
0.3,0.08,1.1500000000000001
0.25,0.09,1.1500000000000001
0.25,0.1,1.1500000000000001
1.0,0.01,1.16
1.0,0.02,1.16
0.9,0.03,1.16
0.65,0.04,1.16
0.55,0.05,1.16
0.45,0.06,1.16
0.35,0.07,1.16
0.3,0.08,1.16
0.3,0.09,1.16
0.25,0.1,1.16
1.0,0.01,1.17
1.0,0.02,1.17
0.9,0.03,1.17
0.65,0.04,1.17
0.55,0.05,1.17
0.45,0.06,1.17
0.35,0.07,1.17
0.3,0.08,1.17
0.3,0.09,1.17
0.25,0.1,1.17
1.0,0.01,1.18
1.0,0.02,1.18
0.9,0.03,1.18
0.65,0.04,1.18
0.55,0.05,1.18
0.45,0.06,1.18
0.35,0.07,1.18
0.3,0.08,1.18
0.3,0.09,1.18
0.25,0.1,1.18
1.0,0.01,1.19
1.0,0.02,1.19
0.9,0.03,1.19
0.65,0.04,1.19
0.55,0.05,1.19
0.45,0.06,1.19
0.35,0.07,1.19
0.3,0.08,1.19
0.3,0.09,1.19
0.25,0.1,1.19
1.0,0.01,1.2
1.0,0.02,1.2
0.9,0.03,1.2
0.65,0.04,1.2
0.55,0.05,1.2
0.45,0.06,1.2
0.35,0.07,1.2
0.3,0.08,1.2
0.3,0.09,1.2
0.25,0.1,1.2
1.0,0.01,1.21
1.0,0.02,1.21
0.9,0.03,1.21
0.65,0.04,1.21
0.55,0.05,1.21
0.45,0.06,1.21
0.35,0.07,1.21
0.3,0.08,1.21
0.3,0.09,1.21
0.25,0.1,1.21
1.0,0.01,1.22
1.0,0.02,1.22
0.9,0.03,1.22
0.7,0.04,1.22
0.55,0.05,1.22
0.45,0.06,1.22
0.35,0.07,1.22
0.3,0.08,1.22
0.3,0.09,1.22
0.25,0.1,1.22
1.0,0.01,1.23
1.0,0.02,1.23
0.9,0.03,1.23
0.7,0.04,1.23
0.55,0.05,1.23
0.45,0.06,1.23
0.4,0.07,1.23
0.3,0.08,1.23
0.3,0.09,1.23
0.25,0.1,1.23
1.0,0.01,1.24
1.0,0.02,1.24
0.9,0.03,1.24
0.7,0.04,1.24
0.55,0.05,1.24
0.45,0.06,1.24
0.4,0.07,1.24
0.3,0.08,1.24
0.3,0.09,1.24
0.25,0.1,1.24
1.0,0.01,1.25
1.0,0.02,1.25
0.9,0.03,1.25
0.7,0.04,1.25
0.55,0.05,1.25
0.45,0.06,1.25
0.4,0.07,1.25
0.35,0.08,1.25
0.3,0.09,1.25
0.25,0.1,1.25
1.0,0.01,1.26
1.0,0.02,1.26
0.9,0.03,1.26
0.7,0.04,1.26
0.55,0.05,1.26
0.45,0.06,1.26
0.4,0.07,1.26
0.35,0.08,1.26
0.3,0.09,1.26
0.25,0.1,1.26
1.0,0.01,1.27
1.0,0.02,1.27
0.9,0.03,1.27
0.7,0.04,1.27
0.55,0.05,1.27
0.45,0.06,1.27
0.4,0.07,1.27
0.35,0.08,1.27
0.3,0.09,1.27
0.25,0.1,1.27
1.0,0.01,1.28
1.0,0.02,1.28
0.9,0.03,1.28
0.7,0.04,1.28
0.55,0.05,1.28
0.45,0.06,1.28
0.4,0.07,1.28
0.35,0.08,1.28
0.3,0.09,1.28
0.25,0.1,1.28
1.0,0.01,1.29
1.0,0.02,1.29
0.9,0.03,1.29
0.7,0.04,1.29
0.55,0.05,1.29
0.45,0.06,1.29
0.4,0.07,1.29
0.35,0.08,1.29
0.3,0.09,1.29
0.25,0.1,1.29
1.0,0.01,1.3
1.0,0.02,1.3
0.9,0.03,1.3
0.7,0.04,1.3
0.55,0.05,1.3
0.45,0.06,1.3
0.4,0.07,1.3
0.35,0.08,1.3
0.3,0.09,1.3
0.25,0.1,1.3
1.0,0.01,1.31
1.0,0.02,1.31
0.9,0.03,1.31
0.7,0.04,1.31
0.55,0.05,1.31
0.45,0.06,1.31
0.4,0.07,1.31
0.35,0.08,1.31
0.3,0.09,1.31
0.25,0.1,1.31
1.0,0.01,1.32
1.0,0.02,1.32
0.9,0.03,1.32
0.7,0.04,1.32
0.55,0.05,1.32
0.45,0.06,1.32
0.4,0.07,1.32
0.35,0.08,1.32
0.3,0.09,1.32
0.25,0.1,1.32
1.0,0.01,1.33
1.0,0.02,1.33
0.9,0.03,1.33
0.7,0.04,1.33
0.55,0.05,1.33
0.45,0.06,1.33
0.4,0.07,1.33
0.35,0.08,1.33
0.3,0.09,1.33
0.25,0.1,1.33
1.0,0.01,1.34
1.0,0.02,1.34
0.9,0.03,1.34
0.7,0.04,1.34
0.55,0.05,1.34
0.45,0.06,1.34
0.4,0.07,1.34
0.35,0.08,1.34
0.3,0.09,1.34
0.25,0.1,1.34
1.0,0.01,1.35
1.0,0.02,1.35
0.9,0.03,1.35
0.7,0.04,1.35
0.55,0.05,1.35
0.45,0.06,1.35
0.4,0.07,1.35
0.35,0.08,1.35
0.3,0.09,1.35
0.25,0.1,1.35
1.0,0.01,1.36
1.0,0.02,1.36
0.9,0.03,1.36
0.7,0.04,1.36
0.55,0.05,1.36
0.45,0.06,1.36
0.4,0.07,1.36
0.35,0.08,1.36
0.3,0.09,1.36
0.25,0.1,1.36
1.0,0.01,1.37
1.0,0.02,1.37
0.9,0.03,1.37
0.7,0.04,1.37
0.55,0.05,1.37
0.45,0.06,1.37
0.4,0.07,1.37
0.35,0.08,1.37
0.3,0.09,1.37
0.25,0.1,1.37
1.0,0.01,1.3800000000000001
1.0,0.02,1.3800000000000001
0.9,0.03,1.3800000000000001
0.7,0.04,1.3800000000000001
0.55,0.05,1.3800000000000001
0.45,0.06,1.3800000000000001
0.4,0.07,1.3800000000000001
0.35,0.08,1.3800000000000001
0.3,0.09,1.3800000000000001
0.25,0.1,1.3800000000000001
1.0,0.01,1.3900000000000001
1.0,0.02,1.3900000000000001
0.95,0.03,1.3900000000000001
0.7,0.04,1.3900000000000001
0.55,0.05,1.3900000000000001
0.45,0.06,1.3900000000000001
0.4,0.07,1.3900000000000001
0.35,0.08,1.3900000000000001
0.3,0.09,1.3900000000000001
0.25,0.1,1.3900000000000001
1.0,0.01,1.4000000000000001
1.0,0.02,1.4000000000000001
0.95,0.03,1.4000000000000001
0.7,0.04,1.4000000000000001
0.55,0.05,1.4000000000000001
0.45,0.06,1.4000000000000001
0.4,0.07,1.4000000000000001
0.35,0.08,1.4000000000000001
0.3,0.09,1.4000000000000001
0.25,0.1,1.4000000000000001
1.0,0.01,1.41
1.0,0.02,1.41
0.95,0.03,1.41
0.7,0.04,1.41
0.55,0.05,1.41
0.45,0.06,1.41
0.4,0.07,1.41
0.35,0.08,1.41
0.3,0.09,1.41
0.25,0.1,1.41
1.0,0.01,1.42
1.0,0.02,1.42
0.95,0.03,1.42
0.7,0.04,1.42
0.55,0.05,1.42
0.45,0.06,1.42
0.4,0.07,1.42
0.35,0.08,1.42
0.3,0.09,1.42
0.25,0.1,1.42
1.0,0.01,1.43
1.0,0.02,1.43
0.95,0.03,1.43
0.7,0.04,1.43
0.55,0.05,1.43
0.45,0.06,1.43
0.4,0.07,1.43
0.35,0.08,1.43
0.3,0.09,1.43
0.25,0.1,1.43
1.0,0.01,1.44
1.0,0.02,1.44
0.95,0.03,1.44
0.7,0.04,1.44
0.55,0.05,1.44
0.45,0.06,1.44
0.4,0.07,1.44
0.35,0.08,1.44
0.3,0.09,1.44
0.25,0.1,1.44
1.0,0.01,1.45
1.0,0.02,1.45
0.95,0.03,1.45
0.7,0.04,1.45
0.55,0.05,1.45
0.45,0.06,1.45
0.4,0.07,1.45
0.35,0.08,1.45
0.3,0.09,1.45
0.25,0.1,1.45
1.0,0.01,1.46
1.0,0.02,1.46
0.95,0.03,1.46
0.7,0.04,1.46
0.55,0.05,1.46
0.45,0.06,1.46
0.4,0.07,1.46
0.35,0.08,1.46
0.3,0.09,1.46
0.25,0.1,1.46
1.0,0.01,1.47
1.0,0.02,1.47
0.95,0.03,1.47
0.7,0.04,1.47
0.55,0.05,1.47
0.45,0.06,1.47
0.4,0.07,1.47
0.35,0.08,1.47
0.3,0.09,1.47
0.25,0.1,1.47
1.0,0.01,1.48
1.0,0.02,1.48
0.95,0.03,1.48
0.7,0.04,1.48
0.55,0.05,1.48
0.5,0.06,1.48
0.4,0.07,1.48
0.35,0.08,1.48
0.3,0.09,1.48
0.25,0.1,1.48
1.0,0.01,1.49
1.0,0.02,1.49
0.95,0.03,1.49
0.7,0.04,1.49
0.6,0.05,1.49
0.5,0.06,1.49
0.4,0.07,1.49
0.35,0.08,1.49
0.3,0.09,1.49
0.25,0.1,1.49
1.0,0.01,1.5
1.0,0.02,1.5
0.95,0.03,1.5
0.7,0.04,1.5
0.6,0.05,1.5
0.5,0.06,1.5
0.4,0.07,1.5
0.35,0.08,1.5
0.3,0.09,1.5
0.25,0.1,1.5
1.0,0.01,1.51
1.0,0.02,1.51
0.95,0.03,1.51
0.7,0.04,1.51
0.6,0.05,1.51
0.5,0.06,1.51
0.4,0.07,1.51
0.35,0.08,1.51
0.3,0.09,1.51
0.25,0.1,1.51
1.0,0.01,1.52
1.0,0.02,1.52
0.95,0.03,1.52
0.7,0.04,1.52
0.6,0.05,1.52
0.5,0.06,1.52
0.4,0.07,1.52
0.35,0.08,1.52
0.3,0.09,1.52
0.3,0.1,1.52
1.0,0.01,1.53
1.0,0.02,1.53
0.95,0.03,1.53
0.7,0.04,1.53
0.6,0.05,1.53
0.5,0.06,1.53
0.4,0.07,1.53
0.35,0.08,1.53
0.3,0.09,1.53
0.3,0.1,1.53
1.0,0.01,1.54
1.0,0.02,1.54
0.95,0.03,1.54
0.75,0.04,1.54
0.6,0.05,1.54
0.5,0.06,1.54
0.4,0.07,1.54
0.35,0.08,1.54
0.3,0.09,1.54
0.3,0.1,1.54
1.0,0.01,1.55
1.0,0.02,1.55
0.95,0.03,1.55
0.75,0.04,1.55
0.6,0.05,1.55
0.5,0.06,1.55
0.4,0.07,1.55
0.35,0.08,1.55
0.3,0.09,1.55
0.3,0.1,1.55
1.0,0.01,1.56
1.0,0.02,1.56
0.95,0.03,1.56
0.75,0.04,1.56
0.6,0.05,1.56
0.5,0.06,1.56
0.4,0.07,1.56
0.35,0.08,1.56
0.3,0.09,1.56
0.3,0.1,1.56
1.0,0.01,1.57
1.0,0.02,1.57
0.95,0.03,1.57
0.75,0.04,1.57
0.6,0.05,1.57
0.5,0.06,1.57
0.4,0.07,1.57
0.35,0.08,1.57
0.3,0.09,1.57
0.3,0.1,1.57
1.0,0.01,1.58
1.0,0.02,1.58
0.95,0.03,1.58
0.75,0.04,1.58
0.6,0.05,1.58
0.5,0.06,1.58
0.4,0.07,1.58
0.35,0.08,1.58
0.3,0.09,1.58
0.3,0.1,1.58
1.0,0.01,1.59
1.0,0.02,1.59
0.95,0.03,1.59
0.75,0.04,1.59
0.6,0.05,1.59
0.5,0.06,1.59
0.4,0.07,1.59
0.35,0.08,1.59
0.3,0.09,1.59
0.3,0.1,1.59
1.0,0.01,1.6
1.0,0.02,1.6
0.95,0.03,1.6
0.75,0.04,1.6
0.6,0.05,1.6
0.5,0.06,1.6
0.4,0.07,1.6
0.35,0.08,1.6
0.3,0.09,1.6
0.3,0.1,1.6
1.0,0.01,1.61
1.0,0.02,1.61
0.95,0.03,1.61
0.75,0.04,1.61
0.6,0.05,1.61
0.5,0.06,1.61
0.4,0.07,1.61
0.35,0.08,1.61
0.3,0.09,1.61
0.3,0.1,1.61
1.0,0.01,1.62
1.0,0.02,1.62
0.95,0.03,1.62
0.75,0.04,1.62
0.6,0.05,1.62
0.5,0.06,1.62
0.4,0.07,1.62
0.35,0.08,1.62
0.3,0.09,1.62
0.3,0.1,1.62
1.0,0.01,1.6300000000000001
1.0,0.02,1.6300000000000001
0.95,0.03,1.6300000000000001
0.75,0.04,1.6300000000000001
0.6,0.05,1.6300000000000001
0.5,0.06,1.6300000000000001
0.4,0.07,1.6300000000000001
0.35,0.08,1.6300000000000001
0.3,0.09,1.6300000000000001
0.3,0.1,1.6300000000000001
1.0,0.01,1.6400000000000001
1.0,0.02,1.6400000000000001
0.95,0.03,1.6400000000000001
0.75,0.04,1.6400000000000001
0.6,0.05,1.6400000000000001
0.5,0.06,1.6400000000000001
0.4,0.07,1.6400000000000001
0.35,0.08,1.6400000000000001
0.3,0.09,1.6400000000000001
0.3,0.1,1.6400000000000001
1.0,0.01,1.6500000000000001
1.0,0.02,1.6500000000000001
0.95,0.03,1.6500000000000001
0.75,0.04,1.6500000000000001
0.6,0.05,1.6500000000000001
0.5,0.06,1.6500000000000001
0.4,0.07,1.6500000000000001
0.35,0.08,1.6500000000000001
0.3,0.09,1.6500000000000001
0.3,0.1,1.6500000000000001
1.0,0.01,1.6600000000000001
1.0,0.02,1.6600000000000001
0.95,0.03,1.6600000000000001
0.75,0.04,1.6600000000000001
0.6,0.05,1.6600000000000001
0.5,0.06,1.6600000000000001
0.4,0.07,1.6600000000000001
0.35,0.08,1.6600000000000001
0.3,0.09,1.6600000000000001
0.3,0.1,1.6600000000000001
1.0,0.01,1.67
1.0,0.02,1.67
0.95,0.03,1.67
0.75,0.04,1.67
0.6,0.05,1.67
0.5,0.06,1.67
0.4,0.07,1.67
0.35,0.08,1.67
0.3,0.09,1.67
0.3,0.1,1.67
1.0,0.01,1.68
1.0,0.02,1.68
0.95,0.03,1.68
0.75,0.04,1.68
0.6,0.05,1.68
0.5,0.06,1.68
0.4,0.07,1.68
0.35,0.08,1.68
0.3,0.09,1.68
0.3,0.1,1.68
1.0,0.01,1.69
1.0,0.02,1.69
0.95,0.03,1.69
0.75,0.04,1.69
0.6,0.05,1.69
0.5,0.06,1.69
0.4,0.07,1.69
0.35,0.08,1.69
0.3,0.09,1.69
0.3,0.1,1.69
1.0,0.01,1.7
1.0,0.02,1.7
0.95,0.03,1.7
0.75,0.04,1.7
0.6,0.05,1.7
0.5,0.06,1.7
0.4,0.07,1.7
0.35,0.08,1.7
0.3,0.09,1.7
0.3,0.1,1.7
1.0,0.01,1.71
1.0,0.02,1.71
1.0,0.03,1.71
0.75,0.04,1.71
0.6,0.05,1.71
0.5,0.06,1.71
0.4,0.07,1.71
0.35,0.08,1.71
0.3,0.09,1.71
0.3,0.1,1.71
1.0,0.01,1.72
1.0,0.02,1.72
1.0,0.03,1.72
0.75,0.04,1.72
0.6,0.05,1.72
0.5,0.06,1.72
0.4,0.07,1.72
0.35,0.08,1.72
0.3,0.09,1.72
0.3,0.1,1.72
1.0,0.01,1.73
1.0,0.02,1.73
1.0,0.03,1.73
0.75,0.04,1.73
0.6,0.05,1.73
0.5,0.06,1.73
0.4,0.07,1.73
0.35,0.08,1.73
0.3,0.09,1.73
0.3,0.1,1.73
1.0,0.01,1.74
1.0,0.02,1.74
1.0,0.03,1.74
0.75,0.04,1.74
0.6,0.05,1.74
0.5,0.06,1.74
0.45,0.07,1.74
0.35,0.08,1.74
0.3,0.09,1.74
0.3,0.1,1.74
1.0,0.01,1.75
1.0,0.02,1.75
1.0,0.03,1.75
0.75,0.04,1.75
0.6,0.05,1.75
0.5,0.06,1.75
0.45,0.07,1.75
0.35,0.08,1.75
0.35,0.09,1.75
0.3,0.1,1.75
1.0,0.01,1.76
1.0,0.02,1.76
1.0,0.03,1.76
0.75,0.04,1.76
0.6,0.05,1.76
0.5,0.06,1.76
0.45,0.07,1.76
0.35,0.08,1.76
0.35,0.09,1.76
0.3,0.1,1.76
1.0,0.01,1.77
1.0,0.02,1.77
1.0,0.03,1.77
0.75,0.04,1.77
0.6,0.05,1.77
0.5,0.06,1.77
0.45,0.07,1.77
0.35,0.08,1.77
0.35,0.09,1.77
0.3,0.1,1.77
1.0,0.01,1.78
1.0,0.02,1.78
1.0,0.03,1.78
0.75,0.04,1.78
0.6,0.05,1.78
0.5,0.06,1.78
0.45,0.07,1.78
0.35,0.08,1.78
0.35,0.09,1.78
0.3,0.1,1.78
1.0,0.01,1.79
1.0,0.02,1.79
1.0,0.03,1.79
0.75,0.04,1.79
0.6,0.05,1.79
0.5,0.06,1.79
0.45,0.07,1.79
0.35,0.08,1.79
0.35,0.09,1.79
0.3,0.1,1.79
1.0,0.01,1.8
1.0,0.02,1.8
1.0,0.03,1.8
0.75,0.04,1.8
0.6,0.05,1.8
0.5,0.06,1.8
0.45,0.07,1.8
0.35,0.08,1.8
0.35,0.09,1.8
0.3,0.1,1.8
1.0,0.01,1.81
1.0,0.02,1.81
1.0,0.03,1.81
0.75,0.04,1.81
0.6,0.05,1.81
0.5,0.06,1.81
0.45,0.07,1.81
0.35,0.08,1.81
0.35,0.09,1.81
0.3,0.1,1.81
1.0,0.01,1.82
1.0,0.02,1.82
1.0,0.03,1.82
0.75,0.04,1.82
0.6,0.05,1.82
0.5,0.06,1.82
0.45,0.07,1.82
0.35,0.08,1.82
0.35,0.09,1.82
0.3,0.1,1.82
1.0,0.01,1.83
1.0,0.02,1.83
1.0,0.03,1.83
0.75,0.04,1.83
0.6,0.05,1.83
0.5,0.06,1.83
0.45,0.07,1.83
0.35,0.08,1.83
0.35,0.09,1.83
0.3,0.1,1.83
1.0,0.01,1.84
1.0,0.02,1.84
1.0,0.03,1.84
0.75,0.04,1.84
0.6,0.05,1.84
0.5,0.06,1.84
0.45,0.07,1.84
0.4,0.08,1.84
0.35,0.09,1.84
0.3,0.1,1.84
1.0,0.01,1.85
1.0,0.02,1.85
1.0,0.03,1.85
0.75,0.04,1.85
0.6,0.05,1.85
0.5,0.06,1.85
0.45,0.07,1.85
0.4,0.08,1.85
0.35,0.09,1.85
0.3,0.1,1.85
1.0,0.01,1.86
1.0,0.02,1.86
1.0,0.03,1.86
0.75,0.04,1.86
0.6,0.05,1.86
0.5,0.06,1.86
0.45,0.07,1.86
0.4,0.08,1.86
0.35,0.09,1.86
0.3,0.1,1.86
1.0,0.01,1.87
1.0,0.02,1.87
1.0,0.03,1.87
0.75,0.04,1.87
0.6,0.05,1.87
0.5,0.06,1.87
0.45,0.07,1.87
0.4,0.08,1.87
0.35,0.09,1.87
0.3,0.1,1.87
1.0,0.01,1.8800000000000001
1.0,0.02,1.8800000000000001
1.0,0.03,1.8800000000000001
0.75,0.04,1.8800000000000001
0.6,0.05,1.8800000000000001
0.5,0.06,1.8800000000000001
0.45,0.07,1.8800000000000001
0.4,0.08,1.8800000000000001
0.35,0.09,1.8800000000000001
0.3,0.1,1.8800000000000001
1.0,0.01,1.8900000000000001
1.0,0.02,1.8900000000000001
1.0,0.03,1.8900000000000001
0.75,0.04,1.8900000000000001
0.6,0.05,1.8900000000000001
0.5,0.06,1.8900000000000001
0.45,0.07,1.8900000000000001
0.4,0.08,1.8900000000000001
0.35,0.09,1.8900000000000001
0.3,0.1,1.8900000000000001
1.0,0.01,1.9000000000000001
1.0,0.02,1.9000000000000001
1.0,0.03,1.9000000000000001
0.75,0.04,1.9000000000000001
0.6,0.05,1.9000000000000001
0.5,0.06,1.9000000000000001
0.45,0.07,1.9000000000000001
0.4,0.08,1.9000000000000001
0.35,0.09,1.9000000000000001
0.3,0.1,1.9000000000000001
1.0,0.01,1.9100000000000001
1.0,0.02,1.9100000000000001
1.0,0.03,1.9100000000000001
0.75,0.04,1.9100000000000001
0.6,0.05,1.9100000000000001
0.5,0.06,1.9100000000000001
0.45,0.07,1.9100000000000001
0.4,0.08,1.9100000000000001
0.35,0.09,1.9100000000000001
0.3,0.1,1.9100000000000001
1.0,0.01,1.92
1.0,0.02,1.92
1.0,0.03,1.92
0.75,0.04,1.92
0.6,0.05,1.92
0.5,0.06,1.92
0.45,0.07,1.92
0.4,0.08,1.92
0.35,0.09,1.92
0.3,0.1,1.92
1.0,0.01,1.93
1.0,0.02,1.93
1.0,0.03,1.93
0.75,0.04,1.93
0.6,0.05,1.93
0.5,0.06,1.93
0.45,0.07,1.93
0.4,0.08,1.93
0.35,0.09,1.93
0.3,0.1,1.93
1.0,0.01,1.94
1.0,0.02,1.94
1.0,0.03,1.94
0.75,0.04,1.94
0.6,0.05,1.94
0.5,0.06,1.94
0.45,0.07,1.94
0.4,0.08,1.94
0.35,0.09,1.94
0.3,0.1,1.94
1.0,0.01,1.95
1.0,0.02,1.95
1.0,0.03,1.95
0.75,0.04,1.95
0.6,0.05,1.95
0.5,0.06,1.95
0.45,0.07,1.95
0.4,0.08,1.95
0.35,0.09,1.95
0.3,0.1,1.95
1.0,0.01,1.96
1.0,0.02,1.96
1.0,0.03,1.96
0.75,0.04,1.96
0.6,0.05,1.96
0.5,0.06,1.96
0.45,0.07,1.96
0.4,0.08,1.96
0.35,0.09,1.96
0.3,0.1,1.96
1.0,0.01,1.97
1.0,0.02,1.97
1.0,0.03,1.97
0.75,0.04,1.97
0.6,0.05,1.97
0.5,0.06,1.97
0.45,0.07,1.97
0.4,0.08,1.97
0.35,0.09,1.97
0.3,0.1,1.97
1.0,0.01,1.98
1.0,0.02,1.98
1.0,0.03,1.98
0.75,0.04,1.98
0.6,0.05,1.98
0.5,0.06,1.98
0.45,0.07,1.98
0.4,0.08,1.98
0.35,0.09,1.98
0.3,0.1,1.98
1.0,0.01,1.99
1.0,0.02,1.99
1.0,0.03,1.99
0.75,0.04,1.99
0.6,0.05,1.99
0.5,0.06,1.99
0.45,0.07,1.99
0.4,0.08,1.99
0.35,0.09,1.99
0.3,0.1,1.99
1.0,0.01,2.0
1.0,0.02,2.0
1.0,0.03,2.0
0.75,0.04,2.0
0.6,0.05,2.0
0.5,0.06,2.0
0.45,0.07,2.0
0.4,0.08,2.0
0.35,0.09,2.0
0.3,0.1,2.0
1.0,0.01,2.0100000000000002
1.0,0.02,2.0100000000000002
1.0,0.03,2.0100000000000002
0.75,0.04,2.0100000000000002
0.6,0.05,2.0100000000000002
0.5,0.06,2.0100000000000002
0.45,0.07,2.0100000000000002
0.4,0.08,2.0100000000000002
0.35,0.09,2.0100000000000002
0.3,0.1,2.0100000000000002
1.0,0.01,2.02
1.0,0.02,2.02
1.0,0.03,2.02
0.8,0.04,2.02
0.6,0.05,2.02
0.5,0.06,2.02
0.45,0.07,2.02
0.4,0.08,2.02
0.35,0.09,2.02
0.3,0.1,2.02
1.0,0.01,2.0300000000000002
1.0,0.02,2.0300000000000002
1.0,0.03,2.0300000000000002
0.8,0.04,2.0300000000000002
0.6,0.05,2.0300000000000002
0.5,0.06,2.0300000000000002
0.45,0.07,2.0300000000000002
0.4,0.08,2.0300000000000002
0.35,0.09,2.0300000000000002
0.3,0.1,2.0300000000000002
1.0,0.01,2.04
1.0,0.02,2.04
1.0,0.03,2.04
0.8,0.04,2.04
0.65,0.05,2.04
0.5,0.06,2.04
0.45,0.07,2.04
0.4,0.08,2.04
0.35,0.09,2.04
0.3,0.1,2.04
